frame,kp_0_x,kp_0_y,kp_0_z,kp_0_visibility,kp_1_x,kp_1_y,kp_1_z,kp_1_visibility,kp_2_x,kp_2_y,kp_2_z,kp_2_visibility,kp_3_x,kp_3_y,kp_3_z,kp_3_visibility,kp_4_x,kp_4_y,kp_4_z,kp_4_visibility,kp_5_x,kp_5_y,kp_5_z,kp_5_visibility,kp_6_x,kp_6_y,kp_6_z,kp_6_visibility,kp_7_x,kp_7_y,kp_7_z,kp_7_visibility,kp_8_x,kp_8_y,kp_8_z,kp_8_visibility,kp_9_x,kp_9_y,kp_9_z,kp_9_visibility,kp_10_x,kp_10_y,kp_10_z,kp_10_visibility,kp_11_x,kp_11_y,kp_11_z,kp_11_visibility,kp_12_x,kp_12_y,kp_12_z,kp_12_visibility,kp_13_x,kp_13_y,kp_13_z,kp_13_visibility,kp_14_x,kp_14_y,kp_14_z,kp_14_visibility,kp_15_x,kp_15_y,kp_15_z,kp_15_visibility,kp_16_x,kp_16_y,kp_16_z,kp_16_visibility,kp_17_x,kp_17_y,kp_17_z,kp_17_visibility,kp_18_x,kp_18_y,kp_18_z,kp_18_visibility,kp_19_x,kp_19_y,kp_19_z,kp_19_visibility,kp_20_x,kp_20_y,kp_20_z,kp_20_visibility,kp_21_x,kp_21_y,kp_21_z,kp_21_visibility,kp_22_x,kp_22_y,kp_22_z,kp_22_visibility,kp_23_x,kp_23_y,kp_23_z,kp_23_visibility,kp_24_x,kp_24_y,kp_24_z,kp_24_visibility,kp_25_x,kp_25_y,kp_25_z,kp_25_visibility,kp_26_x,kp_26_y,kp_26_z,kp_26_visibility,kp_27_x,kp_27_y,kp_27_z,kp_27_visibility,kp_28_x,kp_28_y,kp_28_z,kp_28_visibility,kp_29_x,kp_29_y,kp_29_z,kp_29_visibility,kp_30_x,kp_30_y,kp_30_z,kp_30_visibility,kp_31_x,kp_31_y,kp_31_z,kp_31_visibility,kp_32_x,kp_32_y,kp_32_z,kp_32_visibility
9,0.49633607268333435,0.3197498917579651,-0.1363840401172638,0.998933732509613,0.4996110498905182,0.3113865852355957,-0.1287759691476822,0.9976102113723755,0.5014688968658447,0.311436265707016,-0.12882128357887268,0.99726402759552,0.5033731460571289,0.3115077614784241,-0.12886840105056763,0.997292697429657,0.4953020513057709,0.31057068705558777,-0.1289311647415161,0.9970117807388306,0.49398234486579895,0.3101796507835388,-0.12893128395080566,0.9966097474098206,0.49265602231025696,0.3098004460334778,-0.12894493341445923,0.9970062375068665,0.507049560546875,0.3146119713783264,-0.07449270039796829,0.9918694496154785,0.4913950562477112,0.3119131922721863,-0.07586231082677841,0.9923802614212036,0.499085932970047,0.3275725245475769,-0.11514566838741302,0.9985184073448181,0.49435779452323914,0.3267260789871216,-0.11556347459554672,0.9985445737838745,0.5169258713722229,0.3559495210647583,-0.03628398850560188,0.9992658495903015,0.4785131514072418,0.3612028956413269,-0.037042904645204544,0.9991806149482727,0.5133515000343323,0.4028681218624115,-0.009600374847650528,0.7134370803833008,0.4731360375881195,0.416366845369339,-0.006832881364971399,0.925793468952179,0.5187000632286072,0.44430530071258545,-0.055150195956230164,0.46204474568367004,0.4751860797405243,0.4481685757637024,-0.03595069423317909,0.8161730766296387,0.5191459655761719,0.45568662881851196,-0.06681816279888153,0.40080365538597107,0.476773738861084,0.46016091108322144,-0.04622359946370125,0.729848325252533,0.5173104405403137,0.4553271532058716,-0.07934374362230301,0.4193000793457031,0.4786386489868164,0.45614999532699585,-0.05712865665555,0.7477136254310608,0.5158559083938599,0.451948344707489,-0.061277225613594055,0.41224074363708496,0.4792630970478058,0.4521981477737427,-0.04068883880972862,0.73193359375,0.5063864588737488,0.4659522473812103,0.002601002575829625,0.999646782875061,0.4850423038005829,0.46618467569351196,-0.0026680855080485344,0.9991756081581116,0.5058210492134094,0.5520951747894287,-0.008575805462896824,0.8915354013442993,0.48776528239250183,0.5513653755187988,-0.01591874100267887,0.869130551815033,0.5033621788024902,0.579806387424469,0.1490420252084732,0.4270813465118408,0.4920259118080139,0.5731081962585449,0.15235653519630432,0.24040484428405762,0.5023216009140015,0.5791162848472595,0.16527491807937622,0.24231740832328796,0.492996484041214,0.5686274170875549,0.17008374631404877,0.138895645737648,0.5033864378929138,0.5981506109237671,0.14314837753772736,0.45330968499183655,0.49513885378837585,0.5915099382400513,0.15037192404270172,0.30205288529396057
10,0.4967484772205353,0.31931668519973755,-0.1176273301243782,0.9990128874778748,0.49984467029571533,0.31125718355178833,-0.11063786596059799,0.9977688789367676,0.5016615986824036,0.3113541901111603,-0.11066977679729462,0.9974502325057983,0.5034622550010681,0.3114416301250458,-0.11069890856742859,0.9974786639213562,0.49533894658088684,0.3104534447193146,-0.11179905384778976,0.9972238540649414,0.4940013587474823,0.310100793838501,-0.1118076890707016,0.9968597888946533,0.49267706274986267,0.309760719537735,-0.11182042211294174,0.9972240924835205,0.5069661140441895,0.31460097432136536,-0.06276983767747879,0.9924631118774414,0.49127939343452454,0.3123343586921692,-0.06811819970607758,0.9929615259170532,0.4995614290237427,0.3273630142211914,-0.09896078705787659,0.9986263513565063,0.494468092918396,0.32661575078964233,-0.10054238885641098,0.9986459612846375,0.5169886946678162,0.35651564598083496,-0.02946349047124386,0.9993120431900024,0.4784949719905853,0.3615116477012634,-0.03437669575214386,0.9992098808288574,0.5168312191963196,0.40276479721069336,0.00769152631983161,0.7274762392044067,0.47428715229034424,0.41330066323280334,-0.0027802542317658663,0.9228869080543518,0.5187035202980042,0.4445403218269348,-0.014788331463932991,0.4822107255458832,0.4760515093803406,0.4477732181549072,-0.01595727540552616,0.810438334941864,0.5190933346748352,0.456614226102829,-0.022351497784256935,0.4190640449523926,0.47713103890419006,0.46011611819267273,-0.02359219640493393,0.7239053249359131,0.5173032879829407,0.45560330152511597,-0.03390348702669144,0.4379934072494507,0.47934117913246155,0.4564301371574402,-0.03329552710056305,0.7415062189102173,0.5158952474594116,0.4520717263221741,-0.01975679025053978,0.4304881691932678,0.47995269298553467,0.45229774713516235,-0.019807275384664536,0.7252974510192871,0.5073508024215698,0.4638631045818329,0.0009403095464222133,0.9995923042297363,0.48562851548194885,0.46558424830436707,-0.0009726010612212121,0.9991080164909363,0.5060293674468994,0.5383557677268982,0.003246031003072858,0.8941951990127563,0.48788776993751526,0.5435934662818909,0.002412531292065978,0.8703699111938477,0.5033044815063477,0.5790650844573975,0.12854556739330292,0.4647458493709564,0.4920850694179535,0.5755431652069092,0.12772470712661743,0.2865508198738098,0.5022279024124146,0.5797562003135681,0.13948437571525574,0.27181556820869446,0.49312490224838257,0.5782412886619568,0.1390305459499359,0.16471068561077118,0.5011895298957825,0.5984991788864136,0.10376422107219696,0.48769810795783997,0.49451854825019836,0.5965163707733154,0.10356052964925766,0.34431397914886475
11,0.497052937746048,0.3193140923976898,-0.11586077511310577,0.9990900158882141,0.4999057352542877,0.3114388585090637,-0.10924240946769714,0.9979215860366821,0.5016824007034302,0.31152841448783875,-0.10926851630210876,0.9976309537887573,0.5034551620483398,0.31159666180610657,-0.10928758978843689,0.9976553320884705,0.49535006284713745,0.3107525706291199,-0.11022487282752991,0.9974240064620972,0.49400484561920166,0.31047654151916504,-0.11023568361997604,0.997096061706543,0.49268075823783875,0.31023791432380676,-0.11024908721446991,0.997427761554718,0.5066126585006714,0.3146679997444153,-0.06270301342010498,0.9930256605148315,0.49114760756492615,0.31329524517059326,-0.06756240874528885,0.9935046434402466,0.49980631470680237,0.3273297846317291,-0.0977242961525917,0.9987273812294006,0.4945787787437439,0.3266431391239166,-0.09913013875484467,0.9987430572509766,0.5170434713363647,0.3567037880420685,-0.029810314998030663,0.9993574619293213,0.4784879982471466,0.3616069257259369,-0.03465568646788597,0.9992476105690002,0.5180040001869202,0.40283462405204773,0.004782915115356445,0.7445411086082458,0.4750075340270996,0.4114881753921509,-0.005175758618861437,0.9235072731971741,0.5186858177185059,0.44474107027053833,-0.02239002101123333,0.5099827647209167,0.4768992066383362,0.44734013080596924,-0.023477472364902496,0.8114781975746155,0.5189916491508484,0.4570862352848053,-0.03091519884765148,0.4448666572570801,0.47768911719322205,0.4597325921058655,-0.032323647290468216,0.7254323959350586,0.5172003507614136,0.4557480216026306,-0.04219595342874527,0.4640357196331024,0.47988012433052063,0.4564295709133148,-0.04227953404188156,0.7424992322921753,0.5159082412719727,0.4521135687828064,-0.02731706015765667,0.4558769762516022,0.48045673966407776,0.45230281352996826,-0.027677275240421295,0.7257241606712341,0.5077667832374573,0.46040186285972595,0.0007696515531279147,0.9995185136795044,0.4859679639339447,0.4634544849395752,-0.0007921133073978126,0.999024510383606,0.5062947273254395,0.5327245593070984,3.8990987377474084e-05,0.8959549069404602,0.4879215955734253,0.535365641117096,-0.0032908718567341566,0.8737945556640625,0.5033552646636963,0.5772448778152466,0.11047836393117905,0.5019288659095764,0.49208465218544006,0.5754594802856445,0.10777070373296738,0.3347937762737274,0.50224769115448,0.5795880556106567,0.11995531618595123,0.3039175868034363,0.4931589961051941,0.5786546468734741,0.11763723939657211,0.1912267804145813,0.5005316734313965,0.5984862446784973,0.08142499625682831,0.5217743515968323,0.49373552203178406,0.5981287360191345,0.07834205031394958,0.3865792453289032
12,0.4970831274986267,0.3192635476589203,-0.11726807057857513,0.9991686344146729,0.49991172552108765,0.31146523356437683,-0.11052246391773224,0.9980915784835815,0.5016829967498779,0.31156042218208313,-0.11054554581642151,0.9978274703025818,0.5034095644950867,0.3116339147090912,-0.11056391149759293,0.997848391532898,0.49530747532844543,0.31079497933387756,-0.11144654452800751,0.9976397156715393,0.49394556879997253,0.31055474281311035,-0.11145833134651184,0.9973447322845459,0.49260103702545166,0.310348242521286,-0.11146900057792664,0.9976450800895691,0.50629723072052,0.31465935707092285,-0.06377722322940826,0.9936213493347168,0.49106454849243164,0.31362155079841614,-0.06834785640239716,0.9940762519836426,0.4998791515827179,0.3272024095058441,-0.09909791499376297,0.9988356828689575,0.4945756196975708,0.3265945613384247,-0.10044077038764954,0.9988486170768738,0.5170669555664062,0.3569042682647705,-0.030139047652482986,0.9994040727615356,0.47848790884017944,0.36159130930900574,-0.03482358530163765,0.9992932081222534,0.51834636926651,0.40324267745018005,0.006252171006053686,0.7605268955230713,0.47537991404533386,0.41110551357269287,-0.005652848165482283,0.9249867796897888,0.5186370015144348,0.44481149315834045,-0.01839604042470455,0.5368850827217102,0.4771098494529724,0.4471641778945923,-0.024262510240077972,0.8147071003913879,0.5188096165657043,0.45730993151664734,-0.026247387751936913,0.4702740013599396,0.47796398401260376,0.45966991782188416,-0.03279079124331474,0.7296362519264221,0.5170406103134155,0.45578423142433167,-0.03766849264502525,0.4893781542778015,0.48007380962371826,0.45643937587738037,-0.042385417968034744,0.7459726929664612,0.515893816947937,0.45213040709495544,-0.023245850577950478,0.4806540310382843,0.48068559169769287,0.45231911540031433,-0.02821030095219612,0.728604257106781,0.5079134702682495,0.45909830927848816,0.0006993533461354673,0.9994902610778809,0.48621633648872375,0.4622032344341278,-0.0007211542106233537,0.999008297920227,0.5061666369438171,0.5313333868980408,-0.001483283587731421,0.8984470963478088,0.48792293667793274,0.5364334583282471,-0.0058726840652525425,0.8786996603012085,0.5033158659934998,0.5772724747657776,0.11241614073514938,0.5356223583221436,0.49207890033721924,0.5755832195281982,0.10864215344190598,0.3792221248149872,0.5021082758903503,0.5809583067893982,0.1224532499909401,0.331654816865921,0.49316462874412537,0.5791696906089783,0.11908893287181854,0.21645179390907288,0.5003995299339294,0.5986992716789246,0.08430876582860947,0.552445650100708,0.4932960867881775,0.5990192890167236,0.0805850699543953,0.4255092442035675
13,0.49713239073753357,0.31904542446136475,-0.10742359608411789,0.9992417693138123,0.4999466836452484,0.3114800751209259,-0.10042031109333038,0.9982464909553528,0.5017068386077881,0.3115726113319397,-0.10044236481189728,0.9980062246322632,0.5034092664718628,0.31163761019706726,-0.10045288503170013,0.998023271560669,0.49529045820236206,0.31083944439888,-0.1014309972524643,0.997838020324707,0.49389001727104187,0.3106178343296051,-0.1014387384057045,0.9975728392601013,0.49250727891921997,0.31042012572288513,-0.10144880414009094,0.9978448152542114,0.506190836429596,0.3146384060382843,-0.05538865178823471,0.9941506385803223,0.4909612238407135,0.31390202045440674,-0.060526564717292786,0.994592010974884,0.4999813437461853,0.32695579528808594,-0.09017444401979446,0.9989312887191772,0.4945719838142395,0.32650992274284363,-0.0916512981057167,0.9989440441131592,0.5170347094535828,0.3575029969215393,-0.02548815682530403,0.999441385269165,0.47849586606025696,0.3614586889743805,-0.03245213255286217,0.9993350505828857,0.5181798934936523,0.40390729904174805,0.006082354113459587,0.7748517990112305,0.4756477177143097,0.4099767208099365,-0.009792032651603222,0.9273882508277893,0.5186347365379333,0.4448167085647583,-0.021878106519579887,0.5635982751846313,0.47708410024642944,0.446727991104126,-0.03491360694169998,0.8212650418281555,0.5188257694244385,0.4574040174484253,-0.030468681827187538,0.49613699316978455,0.47804486751556396,0.4595462679862976,-0.04466162249445915,0.7383309006690979,0.517062783241272,0.45587489008903503,-0.04150800406932831,0.5150880813598633,0.4801482856273651,0.4564127027988434,-0.05352334305644035,0.7538589239120483,0.5159972906112671,0.4521617591381073,-0.02678043581545353,0.5060147643089294,0.4807382822036743,0.45228466391563416,-0.03880865126848221,0.7361093759536743,0.5078743696212769,0.45841261744499207,0.0006893860409036279,0.999450147151947,0.48636165261268616,0.4612249732017517,-0.00071203667903319,0.9989897608757019,0.5061323046684265,0.5288233757019043,-0.0021700349170714617,0.9031520485877991,0.4878399670124054,0.5345630049705505,-0.006711209658533335,0.8862329125404358,0.5033339262008667,0.5773738622665405,0.10251694172620773,0.5721187591552734,0.4920818507671356,0.5755137801170349,0.0980101004242897,0.428882360458374,0.5021196007728577,0.5814412236213684,0.11137232929468155,0.36668339371681213,0.49329811334609985,0.5789114236831665,0.10728326439857483,0.2497379034757614,0.5003481507301331,0.5979661345481873,0.0732048973441124,0.5862166285514832,0.49301090836524963,0.5983867049217224,0.0684942826628685,0.469125896692276
14,0.49713221192359924,0.3188405930995941,-0.1098082959651947,0.9993122220039368,0.49994537234306335,0.31149110198020935,-0.1029336228966713,0.9984018206596375,0.501692533493042,0.31158679723739624,-0.1029505655169487,0.9981837868690491,0.5033449530601501,0.3116457164287567,-0.10295853763818741,0.9981983304023743,0.49527230858802795,0.3108394742012024,-0.10381845384836197,0.9980344176292419,0.4938373863697052,0.31061506271362305,-0.10382571071386337,0.9977961182594299,0.4924486577510834,0.3104136288166046,-0.10383250564336777,0.9980418682098389,0.5058561563491821,0.3146364688873291,-0.05815482512116432,0.9946737885475159,0.49091193079948425,0.313904345035553,-0.06270278990268707,0.9950927495956421,0.4999754726886749,0.32675063610076904,-0.09268877655267715,0.9990270733833313,0.49452725052833557,0.3264046907424927,-0.09401825815439224,0.9990398287773132,0.516735315322876,0.35783684253692627,-0.027427880093455315,0.9994797706604004,0.4784887433052063,0.36130720376968384,-0.03301037847995758,0.9993842840194702,0.5179556608200073,0.40411561727523804,0.005994658451527357,0.7902310490608215,0.4757111966609955,0.4098556935787201,-0.01266240980476141,0.9306396245956421,0.5185006856918335,0.44489261507987976,-0.02782423235476017,0.5908888578414917,0.4771730601787567,0.4464358389377594,-0.038996729999780655,0.8302065134048462,0.5187455415725708,0.45764976739883423,-0.036926593631505966,0.522747814655304,0.47818514704704285,0.45948973298072815,-0.049007754772901535,0.7500816583633423,0.5170288681983948,0.4561983346939087,-0.04828358441591263,0.5412578582763672,0.48037436604499817,0.45643338561058044,-0.05771917477250099,0.7647046446800232,0.5159966349601746,0.45234179496765137,-0.03295507654547691,0.5317083597183228,0.4809306561946869,0.4522884786128998,-0.04282886162400246,0.7466009855270386,0.5078582167625427,0.45747482776641846,0.00043839309364557266,0.9994248151779175,0.4863467216491699,0.45975634455680847,-0.00046529879909940064,0.9989951252937317,0.506248414516449,0.5296949148178101,-0.0018309199949726462,0.90940922498703,0.4877554476261139,0.5316741466522217,-0.002444231417030096,0.8944781422615051,0.503325879573822,0.5784175395965576,0.09833108633756638,0.6090362668037415,0.4920051693916321,0.575705885887146,0.09537827968597412,0.47964954376220703,0.5021201968193054,0.583139181137085,0.10639039427042007,0.40561357140541077,0.4933030307292938,0.5799779295921326,0.10336096584796906,0.2919190227985382,0.5001621842384338,0.597954273223877,0.06688772886991501,0.6206759214401245,0.4925737679004669,0.5979865789413452,0.06287333369255066,0.5146874785423279
15,0.4971129298210144,0.3188653886318207,-0.11224240809679031,0.9993769526481628,0.4998408257961273,0.3117944598197937,-0.10547425597906113,0.9985456466674805,0.5015419721603394,0.3118766248226166,-0.1054898053407669,0.9983482360839844,0.5031073689460754,0.31190744042396545,-0.10549477487802505,0.998360276222229,0.49520108103752136,0.31119146943092346,-0.1063084751367569,0.9982145428657532,0.4937574565410614,0.3109818398952484,-0.10631493479013443,0.9980003237724304,0.4923821985721588,0.3107999861240387,-0.10632287710905075,0.9982219934463501,0.5055274367332458,0.3148619830608368,-0.0599735789000988,0.9951598048210144,0.4908737540245056,0.31450796127319336,-0.06420104205608368,0.9955497980117798,0.4999522268772125,0.32677972316741943,-0.09474644064903259,0.9991158246994019,0.49447959661483765,0.32646462321281433,-0.0960000604391098,0.9991280436515808,0.5164011120796204,0.35797080397605896,-0.02821565791964531,0.9995192289352417,0.47849366068840027,0.36062300205230713,-0.03331691399216652,0.9994332194328308,0.5178027749061584,0.4041048288345337,0.004572925623506308,0.805804431438446,0.4758925437927246,0.4089392125606537,-0.014807856641709805,0.9344726800918579,0.5183700919151306,0.44489362835884094,-0.030049534514546394,0.6195683479309082,0.4771355092525482,0.44595837593078613,-0.04602629691362381,0.8406963348388672,0.5186935663223267,0.4577755331993103,-0.03938990458846092,0.5510619878768921,0.4781591594219208,0.4592828154563904,-0.05705931410193443,0.7640902996063232,0.5169978737831116,0.45666804909706116,-0.05093047767877579,0.5689714550971985,0.48032620549201965,0.4564788341522217,-0.06707516312599182,0.7777704000473022,0.5159951448440552,0.4525940418243408,-0.03529651090502739,0.5590105652809143,0.4809078574180603,0.4523201584815979,-0.05050710588693619,0.7595632076263428,0.5077358484268188,0.4560461938381195,0.00019730198255274445,0.9994051456451416,0.48634693026542664,0.4574565589427948,-0.0002220655878772959,0.9990066885948181,0.506416380405426,0.5269986391067505,-0.0012417976977303624,0.914971649646759,0.4876438081264496,0.5283189415931702,0.0008341824286617339,0.902050256729126,0.5033217668533325,0.580686628818512,0.09036694467067719,0.6429803967475891,0.49203354120254517,0.5782122015953064,0.08755048364400864,0.5271261930465698,0.5020986795425415,0.5855457782745361,0.0971696525812149,0.44283589720726013,0.49333876371383667,0.5829282999038696,0.09400628507137299,0.3354693353176117,0.500267744064331,0.5983462929725647,0.05337010696530342,0.6527484059333801,0.49264803528785706,0.598096489906311,0.049037788063287735,0.55771404504776
16,0.49710947275161743,0.3190672993659973,-0.11331332474946976,0.9994361400604248,0.49983730912208557,0.3123880624771118,-0.10661821812391281,0.9986796379089355,0.5015249848365784,0.31245267391204834,-0.10663321614265442,0.9985012412071228,0.5030431747436523,0.3124309182167053,-0.10663768649101257,0.9985114336013794,0.4951934814453125,0.31171715259552,-0.10730171948671341,0.9983808398246765,0.49373921751976013,0.3114393651485443,-0.10730865597724915,0.9981880187988281,0.4923594295978546,0.3111936151981354,-0.10731596499681473,0.9983874559402466,0.5054605603218079,0.31520023941993713,-0.06113980710506439,0.9956147074699402,0.4908706247806549,0.3148297369480133,-0.06501418352127075,0.9959685206413269,0.49994364380836487,0.3270181119441986,-0.09596053510904312,0.9991987347602844,0.49445924162864685,0.32667478919029236,-0.0970391035079956,0.9992097020149231,0.5163826942443848,0.3584505319595337,-0.029928069561719894,0.9995579719543457,0.47851914167404175,0.360114723443985,-0.03356054052710533,0.9994772672653198,0.5179209113121033,0.40434548258781433,-0.0010250259656459093,0.821479856967926,0.47590452432632446,0.40831732749938965,-0.01424524374306202,0.9372740983963013,0.518390953540802,0.4449784457683563,-0.03218313679099083,0.6489344835281372,0.4771057665348053,0.4458496570587158,-0.04635555297136307,0.8499795794487,0.5186936855316162,0.4578670263290405,-0.041477907449007034,0.581646203994751,0.478007972240448,0.4591844379901886,-0.057311996817588806,0.7770344614982605,0.5169986486434937,0.4569794237613678,-0.053322598338127136,0.5985956192016602,0.48005664348602295,0.4565708041191101,-0.06804665923118591,0.789878249168396,0.5160441994667053,0.4529430866241455,-0.037221696227788925,0.5882279872894287,0.48069459199905396,0.4524190127849579,-0.05115893855690956,0.7716584801673889,0.5076958537101746,0.45580244064331055,-0.0005396914202719927,0.9993881583213806,0.4863651990890503,0.45712772011756897,0.0005175048718228936,0.9990110397338867,0.506529688835144,0.5275077819824219,-0.0014904106501489878,0.9200740456581116,0.4875974953174591,0.5284079313278198,0.0038895979523658752,0.9083698987960815,0.5033218860626221,0.5811176896095276,0.08876719325780869,0.6728538870811462,0.4920266568660736,0.5786203742027283,0.08786729723215103,0.5691913366317749,0.5021085143089294,0.5855648517608643,0.09544076025485992,0.4729944169521332,0.4933379590511322,0.5835023522377014,0.09405925869941711,0.37353014945983887,0.5000980496406555,0.5985010862350464,0.052067022770643234,0.6803849339485168,0.49207526445388794,0.5981535315513611,0.049302004277706146,0.5955722332000732
17,0.4971356689929962,0.31934988498687744,-0.11317896097898483,0.9994896650314331,0.499833881855011,0.3129352629184723,-0.10661900043487549,0.998801589012146,0.5014963746070862,0.312997967004776,-0.10663323849439621,0.9986402988433838,0.5029489398002625,0.3129637539386749,-0.10663732886314392,0.9986488223075867,0.4952000677585602,0.3122713565826416,-0.10722386091947556,0.9985318779945374,0.4937470257282257,0.3119994103908539,-0.10723216086626053,0.998358428478241,0.49237117171287537,0.311781108379364,-0.1072402372956276,0.9985380172729492,0.5053017735481262,0.31561949849128723,-0.061695925891399384,0.9960287809371948,0.4908716082572937,0.31537798047065735,-0.06521328538656235,0.9963498711585999,0.499938428401947,0.3272484540939331,-0.0960250124335289,0.9992743134498596,0.4944745600223541,0.32697370648384094,-0.09698843210935593,0.9992842078208923,0.516338050365448,0.3590925633907318,-0.030219068750739098,0.9995936751365662,0.47856470942497253,0.3597676753997803,-0.033629026263952255,0.999519407749176,0.5179896354675293,0.4048547148704529,-0.0025252862833440304,0.8355781435966492,0.4758552312850952,0.40765485167503357,-0.01495538279414177,0.9401787519454956,0.5184285044670105,0.4456702172756195,-0.03411591798067093,0.6747660636901855,0.4770752787590027,0.44578787684440613,-0.04798135533928871,0.8587226867675781,0.5186974406242371,0.45838621258735657,-0.043767426162958145,0.6083579063415527,0.4779488444328308,0.4591413140296936,-0.05918193235993385,0.7891650199890137,0.5169987082481384,0.45772287249565125,-0.055816639214754105,0.6244816184043884,0.47997868061065674,0.45664504170417786,-0.06995997577905655,0.8012144565582275,0.5160616636276245,0.4537883996963501,-0.03925732523202896,0.6138483285903931,0.4806160032749176,0.4525018632411957,-0.05281722545623779,0.7830185294151306,0.5076273083686829,0.45524507761001587,-0.0007003726786933839,0.9993741512298584,0.4863591194152832,0.45637601613998413,0.0006796543602831662,0.9990174770355225,0.5066484808921814,0.5282684564590454,-0.0015818063402548432,0.9241520762443542,0.4875798225402832,0.5292450785636902,0.0045275441370904446,0.9133381247520447,0.5034526586532593,0.5810378193855286,0.08889593183994293,0.698445200920105,0.4920264780521393,0.5786823034286499,0.08768919110298157,0.6060240268707275,0.5022397637367249,0.5851800441741943,0.0957898423075676,0.4977368712425232,0.4933406710624695,0.5834053158760071,0.09386475384235382,0.40541961789131165,0.5001569986343384,0.5984846353530884,0.05277906358242035,0.703914225101471,0.492155522108078,0.5980753898620605,0.0489080511033535,0.6285603046417236
18,0.49720826745033264,0.3194214105606079,-0.11214384436607361,0.9995375275611877,0.4998445212841034,0.3130831718444824,-0.10567351430654526,0.9989104270935059,0.501496434211731,0.31314656138420105,-0.10568695515394211,0.9987648129463196,0.5029357075691223,0.31311941146850586,-0.10569151490926743,0.998771607875824,0.4952320456504822,0.31241506338119507,-0.10631000250577927,0.9986662268638611,0.4937823414802551,0.3121558129787445,-0.10631737858057022,0.9985104203224182,0.49241724610328674,0.31196799874305725,-0.1063237339258194,0.9986718893051147,0.5052655935287476,0.3157636821269989,-0.061471711844205856,0.9964016675949097,0.49087828397750854,0.3155944347381592,-0.06466677784919739,0.9966926574707031,0.49995195865631104,0.32730233669281006,-0.09510166943073273,0.9993427395820618,0.4945374131202698,0.32705119252204895,-0.09603728353977203,0.9993515014648438,0.5163354277610779,0.35946744680404663,-0.02994505502283573,0.9996281266212463,0.4786193072795868,0.35953405499458313,-0.03373512998223305,0.99955815076828,0.5180768370628357,0.40520593523979187,-0.0007563668768852949,0.8484612107276917,0.4758443534374237,0.40688127279281616,-0.0142377819865942,0.9429617524147034,0.5185057520866394,0.44619855284690857,-0.030116919428110123,0.698387622833252,0.47696226835250854,0.445644348859787,-0.045933447778224945,0.8666258454322815,0.5187941193580627,0.45874282717704773,-0.03947598487138748,0.633166491985321,0.4778577983379364,0.4590816795825958,-0.05687788501381874,0.800068199634552,0.5170615911483765,0.45822709798812866,-0.051695194095373154,0.6484759449958801,0.47986650466918945,0.45669758319854736,-0.06811727583408356,0.8114007711410522,0.5161473751068115,0.4543129503726959,-0.035378146916627884,0.6376729607582092,0.48051169514656067,0.4525449573993683,-0.05090275779366493,0.7933195233345032,0.5075638890266418,0.4555121958255768,-0.0006885956972837448,0.9993812441825867,0.486347496509552,0.4564296305179596,0.0006673121824860573,0.9990329146385193,0.5068154335021973,0.5284097194671631,-0.0017355659510940313,0.9287621974945068,0.48755761981010437,0.5301738381385803,0.0062960353679955006,0.9180633425712585,0.5034933090209961,0.5820305347442627,0.08612144738435745,0.7232438921928406,0.49199801683425903,0.5794554352760315,0.08868450671434402,0.6393548250198364,0.5022571086883545,0.5856764316558838,0.09246769547462463,0.5189027786254883,0.4932653605937958,0.583638608455658,0.09469323605298996,0.43325766921043396,0.5003207921981812,0.5996217131614685,0.04709172621369362,0.7264942526817322,0.4920811057090759,0.5982089042663574,0.04895661398768425,0.6589516401290894
